iteracao,acc_prequencial,acuracia
687,0.9636098981077139,96.36098981077147
688,0.9636627906976736,96.36627906976744
689,0.9637155297532648,96.37155297532657
690,0.9637681159420282,96.3768115942029
691,0.9638205499276403,96.38205499276411
692,0.9638728323699414,96.38728323699422
693,0.9639249639249631,96.3924963924964
694,0.9639769452449559,96.39769452449568
695,0.9640287769784164,96.40287769784173
696,0.964080459770114,96.4080459770115
697,0.9641319942611182,96.4131994261119
698,0.9641833810888243,96.41833810888252
699,0.9642346208869804,96.42346208869814
700,0.9642857142857133,96.42857142857143
701,0.9629101283880162,96.2910128388017
702,0.9615384615384606,96.15384615384616
703,0.9601706970128013,96.01706970128022
704,0.9588068181818172,95.88068181818181
705,0.9588652482269494,95.88652482269504
706,0.9589235127478745,95.89235127478753
707,0.9589816124469581,95.8981612446959
708,0.959039548022598,95.90395480225989
709,0.9590973201692516,95.90973201692525
710,0.959154929577464,95.91549295774648
711,0.959212376933895,95.92123769338959
712,0.9592696629213474,95.92696629213484
713,0.9593267882187929,95.93267882187938
714,0.9593837535013996,95.93837535014005
715,0.9594405594405585,95.94405594405595
716,0.9594972067039097,95.94972067039106
717,0.9595536959553687,95.95536959553696
718,0.9596100278551523,95.96100278551532
719,0.9596662030598043,95.96662030598053
720,0.9597222222222213,95.97222222222223
721,0.9597780859916772,95.97780859916782
722,0.9598337950138495,95.98337950138504
723,0.9598893499308427,95.98893499308437
724,0.9599447513812145,95.99447513812154
725,0.9599999999999991,96.0
726,0.9600550964187319,96.00550964187327
727,0.9601100412654736,96.01100412654746
728,0.9601648351648342,96.01648351648352
729,0.9602194787379963,96.02194787379973
730,0.9602739726027387,96.02739726027397
731,0.96032831737346,96.0328317373461
732,0.9603825136612012,96.03825136612022
733,0.9604365620736689,96.04365620736698
734,0.9604904632152579,96.04904632152588
735,0.9605442176870739,96.05442176870748
736,0.9605978260869555,96.05978260869566
737,0.960651289009497,96.0651289009498
738,0.9607046070460695,96.07046070460704
739,0.9607577807848434,96.07577807848443
740,0.9608108108108099,96.08108108108108
741,0.960863697705802,96.08636977058029
742,0.9609164420485166,96.09164420485175
743,0.9609690444145347,96.09690444145356
744,0.9610215053763431,96.10215053763442
745,0.9610738255033547,96.10738255033557
746,0.9611260053619294,96.11260053619303
747,0.961178045515394,96.11780455153949
748,0.9612299465240632,96.12299465240642
749,0.9612817089452594,96.12817089452604
750,0.9613333333333324,96.13333333333334
751,0.9613848202396794,96.13848202396804
752,0.961436170212765,96.1436170212766
753,0.9614873837981398,96.14873837981408
754,0.9615384615384606,96.15384615384616
755,0.961589403973509,96.15894039735099
756,0.9616402116402107,96.16402116402116
757,0.9616908850726543,96.16908850726553
758,0.9617414248021099,96.17414248021109
759,0.9617918313570478,96.17918313570487
760,0.9618421052631569,96.1842105263158
761,0.9618922470433631,96.1892247043364
762,0.9619422572178469,96.19422572178478
763,0.961992136304062,96.19921363040629
764,0.962041884816753,96.20418848167539
765,0.962091503267973,96.20915032679738
766,0.9621409921671009,96.21409921671018
767,0.9621903520208596,96.21903520208605
768,0.9622395833333324,96.22395833333333
769,0.9622886866059809,96.22886866059818
770,0.9623376623376614,96.23376623376623
771,0.9623865110246423,96.23865110246433
772,0.9624352331606207,96.24352331606218
773,0.9624838292367389,96.248382923674
774,0.962532299741601,96.2532299741602
775,0.9625806451612893,96.25806451612904
776,0.9626288659793804,96.26288659793815
777,0.9626769626769616,96.26769626769627
778,0.9627249357326467,96.27249357326478
779,0.9627727856225919,96.27727856225931
780,0.9628205128205117,96.28205128205128
781,0.9628681177976942,96.28681177976952
782,0.9629156010230169,96.29156010230179
783,0.9629629629629619,96.29629629629629
784,0.9630102040816316,96.30102040816327
785,0.9630573248407633,96.30573248407643
786,0.9631043256997446,96.31043256997455
787,0.963151207115628,96.3151207115629
788,0.9631979695431462,96.31979695431473
789,0.9632446134347264,96.32446134347275
790,0.9632911392405052,96.32911392405063
791,0.9633375474083428,96.3337547408344
792,0.9633838383838372,96.33838383838383
793,0.9634300126103393,96.34300126103405
794,0.9634760705289661,96.34760705289672
795,0.9635220125786153,96.35220125786164
796,0.9635678391959788,96.35678391959799
797,0.9636135508155572,96.36135508155583
798,0.9636591478696731,96.36591478696742
799,0.9637046307884846,96.37046307884856
800,0.963749999999999,96.375
801,0.9637952559300864,96.37952559300874
802,0.9638403990024927,96.38403990024938
803,0.9638854296388533,96.38854296388543
804,0.9639303482587054,96.39303482587064
805,0.9639751552795021,96.3975155279503
806,0.9640198511166242,96.40198511166253
