classificador,base,acc
ADWIN,GAUSS,0.5687036382903586
ADWIN,SINE1,0.5690568703638292
ADWIN,ELEC,0.4310700790775589
ADWIN,SPAM,0.88294441282489
ADWIN,KDD,0.39706459829163926
Simples,LINE,0.9100084104289324
Simples,CIRCLE,0.8906054279749479
Simples,GAUSS,0.604336947456212
Simples,SINE1,0.5092577147623002
Simples,ELEC,0.8260917552702295
Simples,SPAM,0.8693782476258751
Simples,KDD,0.9993161055443077
DDM,LINE,0.9638351555929361
DDM,CIRCLE,0.9511482254697294
DDM,GAUSS,0.7988323603002486
DDM,SINE1,0.8975813177648052
DDM,ELEC,0.8569956955226119
DDM,SPAM,0.9030639670309993
DDM,KDD,0.9994862285432342
EDDM,LINE,0.9663582842724983
EDDM,CIRCLE,0.9544885177453019
EDDM,GAUSS,0.8732276897414538
EDDM,SINE1,0.8852376980817342
EDDM,ELEC,0.8541628343328078
EDDM,SPAM,0.9048557606163792
EDDM,KDD,0.9990132866062296
ADWIN,LINE,0.9007569386038692
ADWIN,CIRCLE,0.7027139874739039
ADWIN,GAUSS,0.5648040033361151
ADWIN,SINE1,0.5651376146789002
ADWIN,ELEC,0.43096280490048294
ADWIN,SPAM,0.8865794660455109
ADWIN,KDD,0.37500552899745976
Simples,LINE,0.8956175298804788
Simples,CIRCLE,0.88488924050633
Simples,GAUSS,0.5918141592920345
Simples,SINE1,0.5134323640960791
Simples,ELEC,0.8224530340524956
Simples,SPAM,0.8723476489560362
Simples,KDD,0.9993488764896064
DDM,LINE,0.9641434262948217
DDM,CIRCLE,0.9529272151898747
DDM,GAUSS,0.8008849557522113
DDM,SINE1,0.8931731984829336
DDM,ELEC,0.8548325258791983
DDM,SPAM,0.9003564759803102
DDM,KDD,0.999513269059065
EDDM,LINE,0.9665338645418329
EDDM,CIRCLE,0.9560917721518981
EDDM,GAUSS,0.871049304677625
EDDM,SINE1,0.881321112515803
EDDM,ELEC,0.8531943815133686
EDDM,SPAM,0.9034119843829582
EDDM,KDD,0.9989781873624162
ADWIN,LINE,0.8796812749003988
ADWIN,CIRCLE,0.6918512658227849
ADWIN,GAUSS,0.5614728192161834
ADWIN,SINE1,0.5617888748419732
ADWIN,ELEC,0.42793907497124484
ADWIN,SPAM,0.8874554405024608
ADWIN,KDD,0.35527490628011343
Simples,LINE,0.8811506434519311
Simples,CIRCLE,0.8797444569710638
Simples,GAUSS,0.5826452484611906
Simples,SINE1,0.5302507131061394
Simples,ELEC,0.8164299195390925
Simples,SPAM,0.8717948717948723
Simples,KDD,0.9993599970602668
DDM,LINE,0.9659348978046943
DDM,CIRCLE,0.9530251785043227
DDM,GAUSS,0.8048341089926441
DDM,SINE1,0.8949106740729622
DDM,ELEC,0.8544750173835332
DDM,SPAM,0.8980809546847294
DDM,KDD,0.9995345433165671
EDDM,LINE,0.968205904617714
EDDM,CIRCLE,0.9564073656520103
EDDM,GAUSS,0.8714907671520806
EDDM,SINE1,0.8845518690887255
EDDM,ELEC,0.8514287606370685
EDDM,SPAM,0.9006611836800524
EDDM,KDD,0.9990262156228176
ADWIN,LINE,0.860711582134747
ADWIN,CIRCLE,0.6824502066892149
ADWIN,GAUSS,0.5584747034979753
ADWIN,SINE1,0.5587749587149096
ADWIN,ELEC,0.42617794112777785
ADWIN,SPAM,0.8863086598935663
ADWIN,KDD,0.3375142775775396
Simples,LINE,0.8702235039653938
Simples,CIRCLE,0.8768790264853263
Simples,GAUSS,0.585358879039175
Simples,SINE1,0.5478981984558187
Simples,ELEC,0.8132193875942137
Simples,SPAM,0.8751343879588391
Simples,KDD,0.9993904733018499
DDM,LINE,0.967555875991349
DDM,CIRCLE,0.954187544738727
DDM,GAUSS,0.8091221046611385
DDM,SINE1,0.8963397197597947
DDM,ELEC,0.8499889628204754
DDM,SPAM,0.9003225311012145
DDM,KDD,0.9995537914602167
EDDM,LINE,0.9697188175919251
EDDM,CIRCLE,0.9574087329992845
EDDM,GAUSS,0.8720331712896782
EDDM,SINE1,0.886903059765513
EDDM,ELEC,0.8496736148339709
EDDM,SPAM,0.9023191522039635
EDDM,KDD,0.9990725861722138
ADWIN,LINE,0.8435472242249462
ADWIN,CIRCLE,0.673586256263422
ADWIN,GAUSS,0.5556191020875065
ADWIN,SINE1,0.5559050614812711
ADWIN,ELEC,0.4252782945980903
ADWIN,SPAM,0.8874212870526808
ADWIN,KDD,0.3214422159940947
Simples,LINE,0.8568479008947014
Simples,CIRCLE,0.874274000683294
Simples,GAUSS,0.5773167735771786
Simples,SINE1,0.5401938037395927
Simples,ELEC,0.8089461485205189
Simples,SPAM,0.8768509016273275
Simples,KDD,0.9994042598206643
DDM,LINE,0.9683413626978672
DDM,CIRCLE,0.9549026306798778
DDM,GAUSS,0.8082434830080538
DDM,SINE1,0.8929984987034265
DDM,ELEC,0.8476265013094161
DDM,SPAM,0.8988418120510192
DDM,KDD,0.9995685059448857
EDDM,LINE,0.9704060564349628
EDDM,CIRCLE,0.9579774513153408
EDDM,GAUSS,0.8726627541968068
EDDM,SINE1,0.8827623856967377
EDDM,ELEC,0.8481984287047359
EDDM,SPAM,0.8992816302594944
EDDM,KDD,0.9991147412288481
ADWIN,LINE,0.8279421885753616
ADWIN,CIRCLE,0.6658694909463617
ADWIN,GAUSS,0.5530230653746437
ADWIN,SINE1,0.5532960283881541
ADWIN,ELEC,0.4256644893290405
ADWIN,SPAM,0.8890192053951029
ADWIN,KDD,0.3068312468507894
Simples,LINE,0.8472679394338393
Simples,CIRCLE,0.8679738562091506
Simples,GAUSS,0.5791122715404682
Simples,SINE1,0.5412532637075712
Simples,ELEC,0.8049581065906573
Simples,SPAM,0.8802412003926522
Simples,KDD,0.9994301614986255
DDM,LINE,0.9684002633311394
DDM,CIRCLE,0.9506535947712422
DDM,GAUSS,0.8120104438642317
DDM,SINE1,0.8945169712793746
DDM,ELEC,0.8475137485243759
DDM,SPAM,0.9011358855700463
DDM,KDD,0.9995872665060267
EDDM,LINE,0.9703752468729433
EDDM,CIRCLE,0.9555555555555563
EDDM,GAUSS,0.8734986945169709
EDDM,SINE1,0.8832898172323762
EDDM,ELEC,0.8471682358699715
EDDM,SPAM,0.9015565839293241
EDDM,KDD,0.9991505678414142
ADWIN,LINE,0.8136932192231734
ADWIN,CIRCLE,0.6584967320261442
ADWIN,GAUSS,0.550783289817235
ADWIN,SINE1,0.5510443864229769
ADWIN,ELEC,0.42483660130719064
ADWIN,SPAM,0.8921609872388154
ADWIN,KDD,0.29349079338028433
Simples,LINE,0.8391167192429033
Simples,CIRCLE,0.8578139680551204
Simples,GAUSS,0.5803828349806067
Simples,SINE1,0.5474790441636426
Simples,ELEC,0.8033718716370984
Simples,SPAM,0.8830802311517265
Simples,KDD,0.9994539047089234
DDM,LINE,0.9690851735015779
DDM,CIRCLE,0.947071719386158
DDM,GAUSS,0.8142124358813979
DDM,SINE1,0.8970349055423501
DDM,ELEC,0.8473276123727287
DDM,SPAM,0.903238811987635
DDM,KDD,0.9996044636910618
EDDM,LINE,0.9709779179810735
EDDM,CIRCLE,0.9536486063263401
EDDM,GAUSS,0.8732641060928312
EDDM,SINE1,0.8859001626423121
EDDM,ELEC,0.8478518804668727
EDDM,SPAM,0.9039107646821685
EDDM,KDD,0.9991859607577052
ADWIN,LINE,0.8006309148264983
ADWIN,CIRCLE,0.6520513623551524
ADWIN,GAUSS,0.5486050294007287
ADWIN,SINE1,0.5488552483423004
ADWIN,ELEC,0.4204630115063067
ADWIN,SPAM,0.8958473323478024
ADWIN,KDD,0.28126204152875567
Simples,LINE,0.836462749848578
Simples,CIRCLE,0.8496692723992779
Simples,GAUSS,0.573264472736007
Simples,SINE1,0.5421570982464576
Simples,ELEC,0.8006940213504262
Simples,SPAM,0.887240356083086
Simples,KDD,0.9990886842511404
DDM,LINE,0.9685039370078747
DDM,CIRCLE,0.9461815995189424
DDM,GAUSS,0.7900552486187866
DDM,SINE1,0.893586355993275
DDM,ELEC,0.8469444518026011
DDM,SPAM,0.9071087601599782
DDM,KDD,0.9995173946168827
EDDM,LINE,0.970321017565113
EDDM,CIRCLE,0.9542994588093818
EDDM,GAUSS,0.8708863800144131
EDDM,SINE1,0.8832572663944273
EDDM,ELEC,0.8477656221027212
EDDM,SPAM,0.9069797445490925
EDDM,KDD,0.9990029421780022
ADWIN,LINE,0.7886129618413084
ADWIN,CIRCLE,0.6458208057727007
ADWIN,GAUSS,0.5467211145808342
ADWIN,SINE1,0.5469613259668515
ADWIN,ELEC,0.4176842997536503
ADWIN,SPAM,0.9000129015610892
ADWIN,KDD,0.2725887491701306
Simples,LINE,0.8351776354106011
Simples,CIRCLE,0.8511130384504192
Simples,GAUSS,0.5675020210185928
Simples,SINE1,0.5481002425222324
Simples,ELEC,0.7965665673314488
Simples,SPAM,0.8912045651904226
Simples,KDD,0.9987444909535019
DDM,LINE,0.9691322073383817
DDM,CIRCLE,0.9462272333044242
DDM,GAUSS,0.785194595218849
DDM,SINE1,0.8940986257073567
DDM,ELEC,0.8457757061715189
DDM,SPAM,0.9106810569408252
DDM,KDD,0.9994629342165238
EDDM,LINE,0.9708794408852657
EDDM,CIRCLE,0.9543220583983815
EDDM,GAUSS,0.8689225083727923
EDDM,SINE1,0.8824344612541851
EDDM,ELEC,0.8463105881154291
EDDM,SPAM,0.909812678327753
EDDM,KDD,0.9987609798152915
ADWIN,LINE,0.7775189283634245
ADWIN,CIRCLE,0.6403584851113041
ADWIN,GAUSS,0.5449820995496037
ADWIN,SINE1,0.5452130731031307
ADWIN,ELEC,0.41853238582817703
ADWIN,SPAM,0.9038580821238056
ADWIN,KDD,0.2712276428700906
Simples,LINE,0.8401570386988233
Simples,CIRCLE,0.8499443207126948
Simples,GAUSS,0.5675044483985762
Simples,SINE1,0.5616103202846984
Simples,ELEC,0.7995388879350516
